Word,Language
che niama che niama che niama che niama che,Bulgarian
trepetnoto mu vobrazhenie trepetnoto mu,Bulgarian
primera na primera na primera na primera na,Bulgarian
toi se toi se toi se toi se toi se,Bulgarian
dokazha che ima dokazha che ima dokazha che ima,Bulgarian
ama ako ama ako ama ako ama ako ama ako,Bulgarian
imate donoschik imate donoschik imate donoschik,Bulgarian
simo ima simo ima simo ima simo ima simo ima,Bulgarian
za nepriiatnostite za nepriiatnostite za,Bulgarian
skachakha khvrliakha skachakha khvrliakha,Bulgarian
viena parizh i viena parizh i viena parizh i,Bulgarian
abiturienti viarvam izmoreni abiturienti viarvam,Bulgarian
trudno se spraviashe trudno se spraviashe trudno,Bulgarian
neshcho takova neshcho takova neshcho takova,Bulgarian
s rodnoto slntse s rodnoto slntse s rodnoto,Bulgarian
chash no ne chash no ne chash no ne chash no ne,Bulgarian
vratata edva ne vratata edva ne vratata edva ne,Bulgarian
ogorchena sm ogorchena sm ogorchena sm ogorchena,Bulgarian
na mene na mene na mene na mene na mene,Bulgarian
peroto mi i peroto mi i peroto mi i peroto mi i,Bulgarian
no ne znaeshe no ne znaeshe no ne znaeshe no ne,Bulgarian
pipashe umelo i pipashe umelo i pipashe umelo i,Bulgarian
okh da mu okh da mu okh da mu okh da mu okh da,Bulgarian
pone zatova pone zatova pone zatova pone zatova,Bulgarian
ostavi me na ostavi me na ostavi me na ostavi me,Bulgarian
triabva da triabva da triabva da triabva da,Bulgarian
lzhlivite svedeniia lzhlivite svedeniia,Bulgarian
no nainakraia no nainakraia no nainakraia no,Bulgarian
vika emo sled vika emo sled vika emo sled vika,Bulgarian
drugariu khubenov drugariu khubenov drugariu,Bulgarian
svoeto i vsichki svoeto i vsichki svoeto i,Bulgarian
dovizhdane dovizhdane dovizhdane dovizhdane,Bulgarian
otkradvat pechata otkradvat pechata otkradvat,Bulgarian
bashcha ti bashcha ti bashcha ti bashcha ti,Bulgarian
dzhonsna i dzhonsna i dzhonsna i dzhonsna i,Bulgarian
sglasni s nego sglasni s nego sglasni s nego,Bulgarian
no uchitelskiiat no uchitelskiiat no,Bulgarian
drugi bez da drugi bez da drugi bez da drugi bez,Bulgarian
kato bashcha si kato bashcha si kato bashcha si,Bulgarian
niia za semeistvoto niia za semeistvoto niia za,Bulgarian
otkazvam se otkazvam se otkazvam se otkazvam se,Bulgarian
obichashe da obichashe da obichashe da obichashe,Bulgarian
vashe v kakva vashe v kakva vashe v kakva vashe,Bulgarian
glavata si glavata si glavata si glavata si,Bulgarian
kakvo stava kakvo stava kakvo stava kakvo stava,Bulgarian
zashchoto beshe dobr zashchoto beshe dobr,Bulgarian
go momiche go momiche go momiche go momiche go,Bulgarian
nagi sled uchilishche nagi sled uchilishche nagi,Bulgarian
tezi sluchai tezi sluchai tezi sluchai tezi,Bulgarian
uchebnitsi ili s uchebnitsi ili s uchebnitsi ili,Bulgarian
mislia che mislia che mislia che mislia che,Bulgarian
rezhitelno zamakhvane s rezhitelno zamakhvane s,Bulgarian
se vliza v se vliza v se vliza v se vliza v se,Bulgarian
nakhlta pak v nakhlta pak v nakhlta pak v,Bulgarian
glupava galia i glupava galia i glupava galia i,Bulgarian
stori che si stori che si stori che si stori che,Bulgarian
klast se uspokoi klast se uspokoi klast se,Bulgarian
to miasto to miasto to miasto to miasto to,Bulgarian
koi ne me koi ne me koi ne me koi ne me koi ne,Bulgarian
zaradi niakakvo zaradi niakakvo zaradi niakakvo,Bulgarian
skoro nastigna skoro nastigna skoro nastigna,Bulgarian
iata i po iata i po iata i po iata i po iata i,Bulgarian
brkotiia nali taka brkotiia nali taka brkotiia,Bulgarian
mislite v glavite mislite v glavite mislite v,Bulgarian
kazhe podrobno za kazhe podrobno za kazhe,Bulgarian
shche mu bda shche mu bda shche mu bda shche mu,Bulgarian
mariana iska mariana iska mariana iska mariana,Bulgarian
ronomiia i zapochna ronomiia i zapochna ronomiia,Bulgarian
mozhe da dade mozhe da dade mozhe da dade mozhe,Bulgarian
dushevniia krizis dushevniia krizis dushevniia,Bulgarian
v kori v kori v kori v kori v kori,Bulgarian
vata s nego vata s nego vata s nego vata s nego,Bulgarian
takv le takv le takv le takv le takv le,Bulgarian
znam che znam che znam che znam che znam che,Bulgarian
nomiia drug zapochna nomiia drug zapochna nomiia,Bulgarian
kakto za kakto za kakto za kakto za kakto za,Bulgarian
tova ti go tova ti go tova ti go tova ti go tova,Bulgarian
vzima primer ot vzima primer ot vzima primer ot,Bulgarian
da uchim vecherno da uchim vecherno da uchim,Bulgarian
nitsi u elito nitsi u elito nitsi u elito nitsi,Bulgarian
volov  apostol volov  apostol volov  apostol,Bulgarian
na iskra po na iskra po na iskra po na iskra po,Bulgarian
se prigotvikha da se prigotvikha da se,Bulgarian
zashcho i zashcho i zashcho i zashcho i zashcho,Bulgarian
shche gi khvanat shche gi khvanat shche gi,Bulgarian
sebe si neshcho sebe si neshcho sebe si neshcho,Bulgarian
vseki  vseki  vseki  vseki  vseki,Bulgarian
az mozhe az mozhe az mozhe az mozhe az mozhe,Bulgarian
toi skochi i toi skochi i toi skochi i toi,Bulgarian
v negova v negova v negova v negova v negova,Bulgarian
i mi kaza i mi kaza i mi kaza i mi kaza i mi,Bulgarian
si tia pak si tia pak si tia pak si tia pak si,Bulgarian
navsiakde navsiakde navsiakde navsiakde,Bulgarian
ti vse ti vse ti vse ti vse ti vse,Bulgarian
slta che niama slta che niama slta che niama,Bulgarian
ochite pred slabostite ochite pred slabostite,Bulgarian
tolkova uchenitsi prepodavame tolkova uchenitsi,Bulgarian
na domashnata kamina na domashnata kamina na,Bulgarian
lasi se marina lasi se marina lasi se marina,Bulgarian
tozi den tozi den tozi den tozi den tozi den,Bulgarian
robt beshe robt beshe robt beshe robt beshe robt,Bulgarian
edno magare na edno magare na edno magare na,Bulgarian
otide v otide v otide v otide v otide v,Bulgarian
predi vsichko predi vsichko predi vsichko predi,Bulgarian
vdigna brzo vdigna brzo vdigna brzo vdigna brzo,Bulgarian
donese tolkova prezhiviavaniia donese tolkova,Bulgarian
kazhe ti tam kazhe ti tam kazhe ti tam kazhe ti,Bulgarian
samo v samo v samo v samo v samo v,Bulgarian
kaleno mnogo se kaleno mnogo se kaleno mnogo se,Bulgarian
prosto tova prosto tova prosto tova prosto tova,Bulgarian
moleshe me da moleshe me da moleshe me da,Bulgarian
nakh s ubezhdenie nakh s ubezhdenie nakh s,Bulgarian
tova te si tova te si tova te si tova te si tova,Bulgarian
chekh tova da chekh tova da chekh tova da chekh,Bulgarian
vzmuti se raina vzmuti se raina vzmuti se raina,Bulgarian
ako ne ako ne ako ne ako ne ako ne,Bulgarian
nedorazumeniia nedorazumeniia nedorazumeniia,Bulgarian
ima loshi posledstviia ima loshi posledstviia,Bulgarian
razbra  obichashe razbra  obichashe razbra,Bulgarian
trgvame li trgvame li trgvame li trgvame li,Bulgarian
vsichki moderni momicheta vsichki moderni,Bulgarian
edna glupost kato edna glupost kato edna glupost,Bulgarian
do skoro biakh do skoro biakh do skoro biakh do,Bulgarian
no ne  no ne  no ne  no ne  no ne,Bulgarian
di s tialoto di s tialoto di s tialoto di s,Bulgarian
shchoto shche te shchoto shche te shchoto shche,Bulgarian
pochna da blizhe pochna da blizhe pochna da,Bulgarian
eich nakraia eich nakraia eich nakraia eich,Bulgarian
dobre ot nego dobre ot nego dobre ot nego dobre,Bulgarian
ne ne a ne ne a ne ne a ne ne a ne ne a,Bulgarian
i kiro i i kiro i i kiro i i kiro i i kiro i,Bulgarian
lostta da ne lostta da ne lostta da ne lostta da,Bulgarian
na praznite prikazki na praznite prikazki na,Bulgarian
postariiat brat postariiat brat postariiat brat,Bulgarian
zakhlupi na masata zakhlupi na masata zakhlupi,Bulgarian
zichkata beshe reshila zichkata beshe reshila,Bulgarian
leniiat svetets i leniiat svetets i leniiat,Bulgarian
no tova beshe no tova beshe no tova beshe no,Bulgarian
emo pro emo pro emo pro emo pro emo pro,Bulgarian
iznasilish iznasilish iznasilish iznasilish,Bulgarian
zatova i zatova i zatova i zatova i zatova i,Bulgarian
toi otide toi otide toi otide toi otide toi,Bulgarian
be si tezi be si tezi be si tezi be si tezi be,Bulgarian
ima i lekari ima i lekari ima i lekari ima i,Bulgarian
litseto mu litseto mu litseto mu litseto mu,Bulgarian
a ponatatk a ponatatk a ponatatk a ponatatk a,Bulgarian
izminat den go izminat den go izminat den go,Bulgarian
otide do telefona otide do telefona otide do,Bulgarian
dobre shche dobre shche dobre shche dobre shche,Bulgarian
veliko neshcho na veliko neshcho na veliko,Bulgarian
drekhite i postepenno drekhite i postepenno,Bulgarian
zhesh da udarish zhesh da udarish zhesh da,Bulgarian
ne che se ne che se ne che se ne che se ne che,Bulgarian
galia shche zapripka galia shche zapripka galia,Bulgarian
kato ti tupna kato ti tupna kato ti tupna kato,Bulgarian
stoi taka pred stoi taka pred stoi taka pred,Bulgarian
goliamoto mezhduchasie goliamoto mezhduchasie,Bulgarian
sianka na dushata sianka na dushata sianka na,Bulgarian
marina khubava dvoika marina khubava dvoika,Bulgarian
vednzh mu khrumna vednzh mu khrumna vednzh mu,Bulgarian
poeziiata na poeziiata na poeziiata na poeziiata,Bulgarian
tam shchiakha tam shchiakha tam shchiakha tam,Bulgarian
tezi skributsaniia napravo tezi skributsaniia,Bulgarian
i khem i khem i khem i khem i khem,Bulgarian
glupachka glupachka glupachka glupachka,Bulgarian
ana zamina ana zamina ana zamina ana zamina ana,Bulgarian
skapali ste se skapali ste se skapali ste se,Bulgarian
shcho  negoduvashe shcho  negoduvashe shcho,Bulgarian
da udaria teb da udaria teb da udaria teb da,Bulgarian
se pravish na se pravish na se pravish na se,Bulgarian
klas i triabva klas i triabva klas i triabva,Bulgarian
izvednzh se ozlobi izvednzh se ozlobi izvednzh,Bulgarian
nad tiakh mu nad tiakh mu nad tiakh mu nad tiakh,Bulgarian
zatova ne zatova ne zatova ne zatova ne zatova,Bulgarian
skuchaia sama skuchaia sama skuchaia sama,Bulgarian
shche zapazi mlchanie shche zapazi mlchanie,Bulgarian
nedistsipliniran klas nedistsipliniran klas,Bulgarian
nito klevetite nito nito klevetite nito nito,Bulgarian
ot drugi ami ot drugi ami ot drugi ami ot drugi,Bulgarian
shchiakha da bdat shchiakha da bdat shchiakha da,Bulgarian
shche ti shche ti shche ti shche ti shche ti,Bulgarian
spomene neshcho zashchoto spomene neshcho,Bulgarian
toi digna toi digna toi digna toi digna toi,Bulgarian
napravo shche ti napravo shche ti napravo shche,Bulgarian
shche vi shche vi shche vi shche vi shche vi,Bulgarian
tmnichniiat smrad tmnichniiat smrad tmnichniiat,Bulgarian
ami vie ami vie ami vie ami vie ami vie,Bulgarian
kolko uzhasno s kolko uzhasno s kolko uzhasno s,Bulgarian
lektivnost kritichesko otnoshenie lektivnost,Bulgarian
chashe na khipi chashe na khipi chashe na khipi,Bulgarian
samo deto samo deto samo deto samo deto samo,Bulgarian
opasnost sviri signala opasnost sviri signala,Bulgarian
tam za tam za tam za tam za tam za,Bulgarian
a ako ne a ako ne a ako ne a ako ne a ako ne,Bulgarian
potnakha v razpenenata potnakha v razpenenata,Bulgarian
slavcho slavcho ot slavcho slavcho ot slavcho,Bulgarian
posti otidi na posti otidi na posti otidi na,Bulgarian
khaide dovizhdane khaide dovizhdane khaide,Bulgarian
kakto vsichkite negovi kakto vsichkite negovi,Bulgarian
kolko khubavo kolko khubavo kolko khubavo kolko,Bulgarian
toi si toi si toi si toi si toi si,Bulgarian
churolikt na liastovichkite churolikt na,Bulgarian
da izdrzhish i da izdrzhish i da izdrzhish i da,Bulgarian
tvoiat uspekh tvoiat uspekh tvoiat uspekh tvoiat,Bulgarian
za tolkova za tolkova za tolkova za tolkova za,Bulgarian
che az mnogo che az mnogo che az mnogo che az,Bulgarian
khaide emo  khaide emo  khaide emo  khaide emo,Bulgarian
vsekidnevna gledka vsekidnevna gledka,Bulgarian
tolkova khubava tolkova khubava tolkova khubava,Bulgarian
fusti vrshim takiva fusti vrshim takiva fusti,Bulgarian
uchat kakvi li uchat kakvi li uchat kakvi li,Bulgarian
i da rkopliaskat i da rkopliaskat i da,Bulgarian
izvika slavcho  izvika slavcho  izvika slavcho,Bulgarian
bovta i nikoi bovta i nikoi bovta i nikoi bovta,Bulgarian
raicho i raicho i raicho i raicho i raicho i,Bulgarian
razmakh na svoia razmakh na svoia razmakh na,Bulgarian
ne misliat kakvo ne misliat kakvo ne misliat,Bulgarian
i snaga i snaga i snaga i snaga i snaga,Bulgarian
ta i beshe ta i beshe ta i beshe ta i beshe ta i,Bulgarian
tiv merito tiv merito tiv merito tiv merito tiv,Bulgarian
tseliat klas tseliat klas tseliat klas tseliat,Bulgarian
neshcha interesuvat gi neshcha interesuvat gi,Bulgarian
dva i polovina dva i polovina dva i polovina dva,Bulgarian
ne znaekha edna ne znaekha edna ne znaekha edna,Bulgarian
izpisani kato ot izpisani kato ot izpisani kato,Bulgarian
ko e izpil ko e izpil ko e izpil ko e izpil ko e,Bulgarian
toi shche toi shche toi shche toi shche toi,Bulgarian
sa tezi na sa tezi na sa tezi na sa tezi na sa,Bulgarian
pokoiavakha che na pokoiavakha che na,Bulgarian
beshe devet beshe devet beshe devet beshe devet,Bulgarian
tochno do emo tochno do emo tochno do emo tochno,Bulgarian
no povliia na no povliia na no povliia na no,Bulgarian
choveka ot  choveka ot  choveka ot  choveka ot,Bulgarian
napravo brutal napravo brutal napravo brutal,Bulgarian
shche si shche si shche si shche si shche si,Bulgarian
nared s khorata nared s khorata nared s khorata,Bulgarian
slavcho i stanislava slavcho i stanislava,Bulgarian
chetata koito se chetata koito se chetata koito,Bulgarian
kaza gluposti kak kaza gluposti kak kaza,Bulgarian
kakvo mozhe kakvo mozhe kakvo mozhe kakvo mozhe,Bulgarian
khaide siadaite khaide siadaite khaide siadaite,Bulgarian
vsichko za da vsichko za da vsichko za da,Bulgarian
merito mi merito mi merito mi merito mi merito,Bulgarian
pazi se pazi se pazi se pazi se pazi se,Bulgarian
tozi nevzrachen tozi nevzrachen tozi nevzrachen,Bulgarian
razbiram che sm razbiram che sm razbiram che sm,Bulgarian
ne prepisvakha ne prepisvakha ne prepisvakha ne,Bulgarian
vi pk toi vi pk toi vi pk toi vi pk toi vi pk,Bulgarian
beshe ia beshe ia beshe ia beshe ia beshe ia,Bulgarian
vizhdash li vizhdash li vizhdash li vizhdash li,Bulgarian
tova otgore ne tova otgore ne tova otgore ne,Bulgarian
kazhi ti kazhi ti kazhi ti kazhi ti kazhi ti,Bulgarian
prez tova prez tova prez tova prez tova prez,Bulgarian
nali togava nali togava nali togava nali togava,Bulgarian
koto srbkinia koto srbkinia koto srbkinia koto,Bulgarian
sega mozhesh sega mozhesh sega mozhesh sega,Bulgarian
izobshcho v izobshcho v izobshcho v izobshcho v,Bulgarian
veche si pazi veche si pazi veche si pazi veche,Bulgarian
nebesata sini nebesata sini nebesata sini,Bulgarian
iskashe veche da iskashe veche da iskashe veche,Bulgarian
ritnakh tebeshira kogato ritnakh tebeshira,Bulgarian
mistr prsi mistr prsi mistr prsi mistr prsi,Bulgarian
razpravial emo razni razpravial emo razni,Bulgarian
sbrat zhiv i sbrat zhiv i sbrat zhiv i sbrat,Bulgarian
samo vzemi samo vzemi samo vzemi samo vzemi samo,Bulgarian
i napravi grimasa i napravi grimasa i napravi,Bulgarian
tsiiata na meditsinski tsiiata na meditsinski,Bulgarian
beshe i beshe i beshe i beshe i beshe i,Bulgarian
strakh da kazha strakh da kazha strakh da kazha,Bulgarian
no kogato no kogato no kogato no kogato no,Bulgarian
veche  veche  veche  veche  veche,Bulgarian
testira kiro testira kiro testira kiro testira,Bulgarian
pitashch pogled pitashch pogled pitashch pogled,Bulgarian
dori ne dori ne dori ne dori ne dori ne,Bulgarian
naichistoto naikhubavoto  naichistoto,Bulgarian
prakhosva vremeto prakhosva vremeto prakhosva,Bulgarian
bi bila ti bi bila ti bi bila ti bi bila ti bi,Bulgarian
pochnakha s nastrvenie pochnakha s nastrvenie,Bulgarian
vilnika za vtreshniia vilnika za vtreshniia,Bulgarian
tova limonov tova limonov tova limonov tova,Bulgarian
sebe si ami sebe si ami sebe si ami sebe si ami,Bulgarian
nashata liubov nashata liubov nashata liubov,Bulgarian
liia mu zhivot liia mu zhivot liia mu zhivot,Bulgarian
o drugarko ama o drugarko ama o drugarko ama o,Bulgarian
bashcha mi bashcha mi bashcha mi bashcha mi,Bulgarian
