Word,Language
stranna filosofiia,Bulgarian
mi klas oshche,Bulgarian
shestnadeseta glava,Bulgarian
napravi kalen nomer,Bulgarian
toi ostana,Bulgarian
na praznite prikazki,Bulgarian
dvadeset i vtora,Bulgarian
napravo niama da,Bulgarian
litseto mu,Bulgarian
nali imash,Bulgarian
beshe veche trezva,Bulgarian
ne khvana nepokornata,Bulgarian
pobikha go,Bulgarian
pismeno ili bog,Bulgarian
merito se,Bulgarian
kolebavam no ako,Bulgarian
osma glava,Bulgarian
sednat po mestata,Bulgarian
gonen biaga no,Bulgarian
mo che ne,Bulgarian
lata shche se,Bulgarian
te zhiveiat,Bulgarian
izmchva li ne,Bulgarian
az nishcho,Bulgarian
i mi kaza,Bulgarian
e doshl a,Bulgarian
kakvo stava,Bulgarian
triabva da ostanat,Bulgarian
emo me privlicha,Bulgarian
srtseto na,Bulgarian
tolkova khubava,Bulgarian
ta koiato do,Bulgarian
biakha gospodari na,Bulgarian
oshche vednzh bez,Bulgarian
nata sfera,Bulgarian
bezgrizhnost,Bulgarian
kaza iskra,Bulgarian
tia beshe edno,Bulgarian
naziiata az otnachalo,Bulgarian
kashe da im,Bulgarian
beshe tolkova,Bulgarian
obrshchash nikakvo vnimanie,Bulgarian
mozhekha da napraviat,Bulgarian
samo vzemi,Bulgarian
biakha v edin,Bulgarian
dzhaboloto,Bulgarian
pipashe umelo i,Bulgarian
vachite ne se,Bulgarian
oshche neshcho,Bulgarian
samo za stanito,Bulgarian
merito kreshcheshe,Bulgarian
shche igraem,Bulgarian
dlzhavate s nairazlichni,Bulgarian
ti ne beshe,Bulgarian
se makhnat az,Bulgarian
ne beshe si,Bulgarian
rosnite poli na,Bulgarian
choveka ot,Bulgarian
turtsite revt,Bulgarian
mozhe tia,Bulgarian
da go razbera,Bulgarian
nagovori,Bulgarian
falshivi meditsinski belezhki,Bulgarian
pisatel koito uvazhava,Bulgarian
kachakha zaitsite pokazvakha,Bulgarian
dostatchno e,Bulgarian
vo si mislish,Bulgarian
toi samo i,Bulgarian
to pogledna chasovnika,Bulgarian
dvanaiset chasa,Bulgarian
edna oleliia che,Bulgarian
uchenik v nashiia,Bulgarian
tova dade,Bulgarian
nedistsipliniran klas,Bulgarian
nepremenno ela,Bulgarian
tazi vecher,Bulgarian
makhne khem mu,Bulgarian
ideshe mu,Bulgarian
kakv smisl imashe,Bulgarian
razgovaria s neia,Bulgarian
onzi koito se,Bulgarian
stola sreshchu tozi,Bulgarian
chestnost otkrovenost drugarsko,Bulgarian
edna chashka,Bulgarian
bashcha mi,Bulgarian
tsi bozhe,Bulgarian
chasovete sme reshili,Bulgarian
zi koniak,Bulgarian
ne triabva,Bulgarian
nito dori,Bulgarian
vikat te na,Bulgarian
obraziat po svoia,Bulgarian
razbra obichashe,Bulgarian
popita kde e,Bulgarian
luzhi za vditsa,Bulgarian
vat promrmori,Bulgarian
a bilo e,Bulgarian
vash da me,Bulgarian
trgvame li,Bulgarian
sega pobrzai,Bulgarian
merilo na moiata,Bulgarian
i pomogna,Bulgarian
to detsata ne,Bulgarian
vv vsiaka,Bulgarian
ti kazvashe,Bulgarian
khaide emo,Bulgarian
magnetofona se chuvashe,Bulgarian
liavam za vchera,Bulgarian
kakto vsichkite negovi,Bulgarian
vtorata zadacha,Bulgarian
m choveka,Bulgarian
togava belezhkite,Bulgarian
znaesh li,Bulgarian
poeta podslushva intimniiat,Bulgarian
klast se uspokoi,Bulgarian
zapoznal vchera,Bulgarian
onova zaiche shche,Bulgarian
da ima primerno,Bulgarian
kakvoto pochukalo,Bulgarian
vstanieto,Bulgarian
raziavate s drugite,Bulgarian
neshcho namesi,Bulgarian
liubovta si,Bulgarian
nika si i,Bulgarian
misli mu ako,Bulgarian
tozi klas no,Bulgarian
togaz ot,Bulgarian
vtora glava,Bulgarian
ami ako mi,Bulgarian
ia biva poveche,Bulgarian
koito nai ne,Bulgarian
poseshchenie ne ochakvashe,Bulgarian
si pomisli che,Bulgarian
zviara veche,Bulgarian
pochna da udria,Bulgarian
nespodelena liubov,Bulgarian
gronden aannemen dat,Dutch
rivier aan de,Dutch
langs de zuidelijke,Dutch
de inlanders de,Dutch
niet in de,Dutch
geacht en geen,Dutch
dood in het,Dutch
verstandigst de zelfverdediging,Dutch
heerlijk en vruchtbaar,Dutch
de gemeenste,Dutch
hadden gehaald,Dutch
personen kwamen later,Dutch
ligt vroeg hij,Dutch
zoodra het opperhoofd,Dutch
een hoogen rang,Dutch
vrijgevig met wat,Dutch
eerst land zien,Dutch
storm noodzaakte hem,Dutch
een hunner,Dutch
van vijandelijkheden tusschen,Dutch
moeilijk zijn zich,Dutch
en tal van,Dutch
gaarne spoedig in,Dutch
destijds,Dutch
dikwijls bij de,Dutch
dollars per jaar,Dutch
dit was het,Dutch
toen het avond,Dutch
in den omtrek,Dutch
of de hoos,Dutch
gelegenheid vinden zijn,Dutch
vergrooten,Dutch
maakte deel uit,Dutch
noodige voorzien,Dutch
stilte eenzaamheid,Dutch
vriendelijkheid en bewijzen,Dutch
misleiden door de,Dutch
de gebarentaal,Dutch
verblindde hem,Dutch
onder leiding,Dutch
maaltijd geleidde de,Dutch
terug konden keeren,Dutch
van santa gloria,Dutch
dadelijk kreeg,Dutch
eskader van colombo,Dutch
allen zonder uitzondering,Dutch
tweeden zoon fernando,Dutch
zoo gehavend dat,Dutch
geborduurde boezelaar voor,Dutch
ondergaan,Dutch
de korte,Dutch
een uur tijd,Dutch
ontvangen had,Dutch
kijken vond men,Dutch
ook droegen,Dutch
de dorpen,Dutch
verderen loop van,Dutch
zij gaven,Dutch
de beminlijkheid,Dutch
het aantal eilanden,Dutch
tot onderkoning admiraal,Dutch
daarom noemde,Dutch
verschrikkelijk en de,Dutch
de naakte indianen,Dutch
men vermoedde,Dutch
het bouwen van,Dutch
de opgewondenheid door,Dutch
neemt de onwetendheid,Dutch
om het levensbehoud,Dutch
aanbevolen is,Dutch
hem de bergen,Dutch
dit eiland,Dutch
brief aan de,Dutch
geleid te worden,Dutch
vele andere,Dutch
de boomen,Dutch
gewoonte andere menschen,Dutch
ook ontving,Dutch
terwijl men deze,Dutch
groote hoeveelheid goud,Dutch
prettige reis,Dutch
last en trekdieren,Dutch
diep lagen zien,Dutch
eenigen van,Dutch
de weinigen,Dutch
verhaalde hij de,Dutch
om hen heen,Dutch
leden van dien,Dutch
tot zich een,Dutch
aan het hof,Dutch
koers naar hispaniola,Dutch
een europeesche levenswijze,Dutch
de toestand,Dutch
mijn eigen kroon,Dutch
bloedhond melding vinden,Dutch
volvoerd zonder eenig,Dutch
zich schuldig hebben,Dutch
en den verkoop,Dutch
onuitputtelijk was de,Dutch
sommigen van,Dutch
weersproken en blijkt,Dutch
de caraibiers vernield,Dutch
had naar een,Dutch
europeesch leven met,Dutch
maanden lang bleef,Dutch
de onderneming op,Dutch
des avonds,Dutch
bereidde zich krachtig,Dutch
zij bestalen de,Dutch
grootste moeite in,Dutch
ze op eens,Dutch
ten bewijze,Dutch
vaart van,Dutch
die hij de,Dutch
de gouverneur,Dutch
land bevende van,Dutch
op de oppervlakte,Dutch
eenige goed,Dutch
velen waren,Dutch
weten wat,Dutch
van pinzon opgewekt,Dutch
van de oproermakers,Dutch
juichten de duizenden,Dutch
zee en wist,Dutch
stellig handelde,Dutch
elk huis,Dutch
in de heete,Dutch
door een scheepskapitein,Dutch
inwoners namen bij,Dutch
zending van,Dutch
wereld het erkennen,Dutch
en werkelijk,Dutch
een mast met,Dutch
naam van het,Dutch
schreef een,Dutch
verwijderde wolken voor,Dutch
want dacht hij,Dutch
zijn vurige verbeelding,Dutch
schijnbare tegenspraak hiermede,Dutch
deze daad was,Dutch
maar hij,Dutch
en verwondering bekeken,Dutch
door onbedrieglijke gebaren,Dutch
de vrome,Dutch
maries noemde,Dutch
schriftelijk verlof om,Dutch
onder vreeselijk geschreeuw,Dutch
mendez had,Dutch
een zeer,Dutch
sommige misnoegden,Dutch
ontzet was geworden,Dutch
plantengroei andere waren,Dutch
hen die guacanagari,Dutch
begroeid met vruchten,Dutch
ruwe benden zwierven,Dutch
dat de kust,Dutch
generaal in de,Dutch
zijn voornemen was,Dutch
het klimaat,Dutch
verbeelding uitdenken kan,Dutch
had genomen naar,Dutch
nooit meenden,Dutch
van al de,Dutch
nemen deed hem,Dutch
luisterde hij,Dutch
door golven omringd,Dutch
drukten alleen spijt,Dutch
nina haar reis,Dutch
winter met zulke,Dutch
noemde het eiland,Dutch
troonhemel in een,Dutch
getuige van de,Dutch
zij konden,Dutch
maar zijn,Dutch
eerbewijzingen te,Dutch
tot de volkplantingen,Dutch
vermoeienis de slapeloosheid,Dutch
guacanagari gaf zijn,Dutch
eenstemmig verklaarden,Dutch
ontving behandelde hij,Dutch
van de azoren,Dutch
beleedigingen bloot te,Dutch
nieuw verhief de,Dutch
werden door de,Dutch
was warm en,Dutch
ging zijn,Dutch
dezen waren,Dutch
andere bossen,Dutch
op gewelddadige wijze,Dutch
hij overlaadde,Dutch
dat leedvermaak hem,Dutch
waren er zeven,Dutch
zweem van een,Dutch
dan kan men,Dutch
later werd,Dutch
nacht en,Dutch
gewond wist nog,Dutch
aan vele,Dutch
dat hij uit,Dutch
het juiste,Dutch
belasting betaald had,Dutch
in de hoofdkerk,Dutch
hunne majesteiten,Dutch
aan werd,Dutch
onder den,Dutch
dat uit een,Dutch
van het hof,Dutch
de nina was,Dutch
gewapende booten uit,Dutch
vervelende maanden,Dutch
bescherm hen,Dutch
die voor de,Dutch
dagen blijven,Dutch
uit onder bevel,Dutch
het schip,Dutch
terugkomst,Dutch
gegeven ze te,Dutch
verlaten het zieke,Dutch
vele zieken en,Dutch
golven dreigden hen,Dutch
reisrampen,Dutch
voorbij waarvan het,Dutch
morgen aanbrak zeilde,Dutch
de aanmatigende trots,Dutch
vriend van mendez,Dutch
vertoon van godsdienstige,Dutch
ofschoon hij,Dutch
de geestdrift,Dutch
negen en dertig,Dutch
door teekens,Dutch
bitter tegen dat,Dutch
dan met de,Dutch
zouden zijn dat,Dutch
ik ontvang,Dutch
als razenden met,Dutch
en onwaarheden stond,Dutch
te aanschouwen,Dutch
sedert de,Dutch
onbedwingbare geest er,Dutch
groot aantal ontevredenen,Dutch
diensten die zoo,Dutch
zoo wordt verhaald,Dutch
want zij zijn,Dutch
pijl en boog,Dutch
verdrietig zadelde,Dutch
alle inwoners,Dutch
eigen onderdanen af,Dutch
vlucht behalve een,Dutch
de admiraal achtte,Dutch
om te volharden,Dutch
was dien,Dutch
gezien stonden in,Dutch
in den avond,Dutch
zich goed gedroeg,Dutch
toen deze woorden,Dutch
daar overviel,Dutch
menigte werden aangetroffen,Dutch
de begrafenis,Dutch
dit feit wordt,Dutch
het was de,Dutch
uiterlijk vertoon op,Dutch
er in om,Dutch
scheen zijn gemoed,Dutch
zoowel het,Dutch
te midden,Dutch
zijn vorsten in,Dutch
overal moest,Dutch
de ridderlijke mendez,Dutch
het valluik weer,Dutch
porto rico,Dutch
land zien met,Dutch
dorpen werden,Dutch
beeltenissen van ferdinand,Dutch
zijn voorbeeld en,Dutch
meisjes dochters van,Dutch
weldra heinde en,Dutch
dat hij gekomen,Dutch
naar den kalen,Dutch
de inlanders te,Dutch
met een voorbijtrekkende,Dutch
een afstand van,Dutch
vaartuigen door een,Dutch
gewoon als,Dutch
al reisde hij,Dutch
vele gevaren en,Dutch
boven allen twijfel,Dutch
en de zuiderzon,Dutch
schipbreuk gered was,Dutch
en hen met,Dutch
op nieuw,Dutch
eenig schip dat,Dutch
en volgde hem,Dutch
en niet wetende,Dutch
was door het,Dutch
aan ontvluchten,Dutch
deze overweging kan,Dutch
landde op afgelegen,Dutch
deed een,Dutch
belangrijk voorval,Dutch
noodlottige viering,Dutch
het dorp,Dutch
hier werd,Dutch
aanstonds riep,Dutch
dat het rechtvaardig,Dutch
voegden zich alle,Dutch
had men uit,Dutch
van zekere plant,Dutch
van lissabon,Dutch
water den vorm,Dutch
ademden dat hij,Dutch
koningin isabella,Dutch
zoo scheidden,Dutch
onderscheidene kleine zeetochten,Dutch
een kant weten,Dutch
en eindelijk,Dutch
wateren van de,Dutch
veertig mijlen,Dutch
hier vernam,Dutch
vroolijk gestemd over,Dutch
deze onschuldige,Dutch
zij antwoordden,Dutch
zwakke vijand er,Dutch
waren dat zij,Dutch
de studie altoos,Dutch
zeeroovers,Dutch
toen het,Dutch
afgevaardigden begrepen dus,Dutch
martin alonzo pinzon,Dutch
waaruit men niet,Dutch
deze geschenken,Dutch
vimet ze poradne,Czech
se na mne,Czech
nekolik horalu z,Czech
jsme tehda jeste,Czech
tomu priucili,Czech
svitani do toho,Czech
je panem je,Czech
pistolka ta byla,Czech
tady neni misto,Czech
rozpravival a zridka,Czech
i vojaci kteri,Czech
starecek sedel,Czech
ovanul mne mimodek,Czech
bavila trestance mnohem,Czech
nesdilni a nijak,Czech
a sice dva,Czech
jeste vice si,Czech
konecne prijel revizor,Czech
tezsi byla,Czech
jednal se,Czech
velice teskno nemelt,Czech
slechetny zapas zvlaste,Czech
hledte trestanci,Czech
tento orkestr,Czech
vseobecneho ticha okovy,Czech
pocatku radou a,Czech
dni dodaly mne,Czech
dva obzalovani,Czech
prece se vsichni,Czech
bohu a pod,Czech
nejdrive by se,Czech
zenitby upadl do,Czech
ale prede,Czech
lhutu nucenych praci,Czech
byl stizen,Czech
invalidove misto nich,Czech
dobre vedel ze,Czech
delsich sten staly,Czech
skutecnost smeruje,Czech
noci nenadale prohlidky,Czech
proklecel na modlitbach,Czech
skonal bez,Czech
nelibil se,Czech
kaznici druhe si,Czech
ostatne i,Czech
minuly dva,Czech
podali zpravu na,Czech
jest ku podivu,Czech
vice jen pro,Czech
zato kdykoli,Czech
sam uz nemel,Czech
nase vojenska kasarna,Czech
ocekavali ze nyni,Czech
ona kouka,Czech
k nucenym pracim,Czech
ani jedineho zbytecneho,Czech
nepripousti ostrych a,Czech
truchlive se pousmal,Czech
tvrdil v nemocnici,Czech
mezi nimi,Czech
ma na priklad,Czech
se loucil s,Czech
poznamky reknou ze,Czech
zinka se usmiva,Czech
svlekati tyto podkladky,Czech
si nezabrucel kdyz,Czech
meho mineni slusi,Czech
jsem ho spatril,Czech
trestanec posloucha cely,Czech
a tak ucinil,Czech
avsak jak,Czech
krista jsi prodal,Czech
mezi temi,Czech
nekteri ostatne jen,Czech
mohli si,Czech
doplnovaly mezery bez,Czech
tak pro zabavu,Czech
nazpet cele telo,Czech
namaha se,Czech
jich tvare se,Czech
nedovolimli predstaveni trebas,Czech
ale chyba lavky,Czech
pro chleb musil,Czech
neslychal jsem,Czech
prisel jsem domu,Czech
bylo mezi,Czech
hlidaci a o,Czech
ani z tambova,Czech
v sibiri,Czech
hrisnika patriti milosrdne,Czech
i nevim opravdu,Czech
predepsana mu jednou,Czech
mluvte prec aby,Czech
jakych divnych,Czech
mrtvola lezela,Czech
bylo jasno ze,Czech
vsichni najednou aneb,Czech
trestancem nybrz jen,Czech
svicky a pocatek,Czech
rozhovory trestancuv a,Czech
tam lekar,Czech
tvrdili potom veznove,Czech
jenz by intelligenci,Czech
poslali tedy,Czech
mohlo by,Czech
trestancem a s,Czech
vodky nejprve sam,Czech
a sotva asi,Czech
sebe trhati kosili,Czech
mozna zahy z,Czech
nasich trestancu kdyby,Czech
podniku jsou vsak,Czech
a kdo pak,Czech
mlsky atd,Czech
ospravedlneni,Czech
soudruha ve vezeni,Czech
poddustojnikem nu povidam,Czech
prec jen prilis,Czech
cekali na,Czech
vynalezavost pevnou povahu,Czech
m jiz pricinil,Czech
provadi se kontrola,Czech
hrubou praci nezabyval,Czech
rozchazeli po praci,Czech
odchazel s nimi,Czech
zvolal primo a,Czech
nu pritelicku uz,Czech
nejvetsi cast z,Czech
se po cely,Czech
nijakych ulev nijakych,Czech
prec jen brasi,Czech
svou rodinou jedine,Czech
dekuji poddustojniku,Czech
to jako kdyz,Czech
nikterak,Czech
tak si vazil,Czech
maso bylo u,Czech
prchli nasel se,Czech
tvrdosijnosti,Czech
vpousti do reci,Czech
slovem on,Czech
naivni byl,Czech
vsechno se,Czech
starik ankudim,Czech
vse to jest,Czech
byl oddan celou,Czech
mu odpousti pro,Czech
blahorodi krici nestastny,Czech
dosvedciti ze jsem,Czech
jest kozel a,Czech
nemocni z,Czech
mladi ale rozvila,Czech
botky mne,Czech
zavrazdil sveho utiskovatele,Czech
mluvim bez,Czech
delat neji co,Czech
pred desatou hodinou,Czech
slova jak je,Czech
se spokojenymi a,Czech
klepani hospodyne je,Czech
jenz si ani,Czech
proc pak,Czech
tento vypravoval,Czech
temz byli jsme,Czech
druhorozenym fedor,Czech
susilov ani,Czech
jemne rozedranym,Czech
a zac te,Czech
nikdy necini rozdilu,Czech
hned za vyssimi,Czech
zenskym bylo tezko,Czech
ovsem chapali ze,Czech
o nej uderil,Czech
slusi podotknouti ze,Czech
hluku a kriku,Czech
novacka zpusobil skoro,Czech
obycejne,Czech
podruhe a potreti,Czech
byli smelejsi a,Czech
mluvil rychle,Czech
pokoji je tesno,Czech
a vidis takove,Czech
pro ne bylo,Czech
kdybych se,Czech
ne opravdu brasi,Czech
a vite brasi,Czech
furiantis dokaz napred,Czech
dukaz pokory na,Czech
dusevne osamely,Czech
cast jest ovsem,Czech
prodlenim vysetrovani,Czech
ani za hodnu,Czech
si za ne,Czech
humorem coz nekterym,Czech
kolem neho,Czech
vecne bude s,Czech
slunce jest,Czech
ale konecne praskli,Czech
chvatal az,Czech
ale ten dlouho,Czech
stiskl mne ruku,Czech
typu o nemz,Czech
pripade jak se,Czech
spousti se,Czech
davali mu,Czech
vidite psi maso,Czech
panu jakteziv nevidel,Czech
rozmlouvali anebo se,Czech
pak obesel,Czech
jaksi tupe zadumcive,Czech
pruzracnem vzduchu a,Czech
jidla byla,Czech
byval nekdy velmi,Czech
zlostne patrival,Czech
tuto blahovost vzdyt,Czech
poddustojnik a,Czech
naopak je,Czech
ale sotva,Czech
poprve v jeho,Czech
prosince,Czech
pak neustale pronasledovala,Czech
mohl byti znamenitym,Czech
zdrzovali a kteri,Czech
nijake priciny ke,Czech
souhlasil uplne ze,Czech
vzpomene na svuj,Czech
chodim tedy jako,Czech
jeden nas,Czech
mnoholi prozili oni,Czech
nanejvys nekolika stulci,Czech
nepozoroval vycitek svedomi,Czech
zvirata v kaznici,Czech
tento oddil,Czech
oznamovali k svemu,Czech
dlouhy nekonecny,Czech
roznitil byl by,Czech
filku morozova,Czech
ale povest,Czech
vzdelany jemuz se,Czech
cinili pokani byli,Czech
vyptal jsem,Czech
prace bylo to,Czech
dobu prace a,Czech
poslouchej aleji pravil,Czech
vskutku vyskytuji a,Czech
roku vseho deset,Czech
nejnerozhodnejsi,Czech
vysetrovani odlozi se,Czech
sotva se,Czech
mne uz jednou,Czech
jenom hlas,Czech
smutnou a tezkou,Czech
jednou rozpraveje,Czech
oholene lebce odstrkuje,Czech
byl staly a,Czech
rodem nemec ale,Czech
mirneji a nezvysoval,Czech
ctenari znali,Czech
spisovatele,Czech
u neho vseho,Czech
cukru pri cemz,Czech
zivota a proto,Czech
by se ani,Czech
nespocita kolikrat mne,Czech
obchod se,Czech
neprijemno pohlizeti na,Czech
nyni na cely,Czech
jasne se pamatuju,Czech
ani jednou,Czech
ze je vynucena,Czech
odlezi se,Czech
nemocni zustavali na,Czech
baklusin kdykoli,Czech
byl uz hrozne,Czech
roznecovalo ohen nelibosti,Czech
mrtvym to jest,Czech
nununu prestaneteli zvolal,Czech
druzi predstaveni nikdy,Czech
otazka zdala se,Czech
to neni pranic,Czech
okamzikem byly jeste,Czech
nam na zkousku,Czech
v byl znamenitym,Czech
povidaje to,Czech
vselikou znamost se,Czech
cela jeho duse,Czech
s velikou radosti,Czech
tak bude,Czech
vsichni s,Czech
ostatnich pro svou,Czech
vubec rozmluva,Czech
si je polozil,Czech
slusi uznati,Czech
prestavka v literarni,Czech
ale zvlastni tedy,Czech
prostredniho mezi reznym,Czech
ackoliv o,Czech
chechtem a s,Czech
vystupuje nyni v,Czech
prepisoval povidku nez,Czech
slysel jsem,Czech
opily nemohl zpusobiti,Czech
ran pruty ihned,Czech
ale zvireci,Czech
kazdy vecer,Czech
ze dle onoho,Czech
jestlize se tomu,Czech
kam uprchne,Czech
mnou navrhuje mu,Czech
palaci a major,Czech
ale takovych nebylo,Czech
zahy spat,Czech
bily leskly prach,Czech
jeden se,Czech
davno jiz privykli,Czech
by prilis jednoho,Czech
prvni kniha kterou,Czech
nas ordinator se,Czech
ani slova padl,Czech
druheho dne po,Czech
i dnes po,Czech
tak rychle clovek,Czech
jsem nemel poneti,Czech
nepokojny a podezrivavy,Czech
ospravedlneni at se,Czech
trestanec pocina opet,Czech
naopak on byl,Czech
zady druhych,Czech
zvireci povaha,Czech
byla vsude velmi,Czech
me ginou,AncientGreek
pros umas axios,AncientGreek
estin e odos,AncientGreek
phanesetai o kosmoplanos,AncientGreek
photerois theon ou,AncientGreek
ten entolen,AncientGreek
thalmos ek gar,AncientGreek
thropon alla ous,AncientGreek
san oun aparkhen,AncientGreek
agapeseis ton theon,AncientGreek
ethne to auto,AncientGreek
lio tou kuriou,AncientGreek
doxa eis tous,AncientGreek
teknon mou tou,AncientGreek
pas de o,AncientGreek
matiken trophen kai,AncientGreek
me apaitei oude,AncientGreek
sontai up autou,AncientGreek
poiei ou krithesetai,AncientGreek
en ekklesia,AncientGreek
odegei gar e,AncientGreek
temporos esti prosekhete,AncientGreek
marturiai upokriseis diplokardia,AncientGreek
ean ekhes,AncientGreek
de uper ton,AncientGreek
udor zon eis,AncientGreek
ginou epithumetes odegei,AncientGreek
apostrephomenoi ton endeomenon,AncientGreek
isthi de praus,AncientGreek
anoixas ten aparkhen,AncientGreek
tos osper o,AncientGreek
onoma tou patros,AncientGreek
ora me tis,AncientGreek
panti topo kai,AncientGreek
phoneuseis teknon en,AncientGreek
geliou outo poiesate,AncientGreek
